Mes;Contrato atual (editar);Contrato novo (editar);Empresa 3;Empresa 4;Empresa 5;Total
2025-01;15500.0;0.0;0.0;0.0;0.0;15500.0
2025-02;15500.0;0.0;0.0;0.0;0.0;15500.0
2025-03;15500.0;0.0;0.0;0.0;0.0;15500.0
2025-04;15500.0;0.0;0.0;0.0;0.0;15500.0
2025-05;15500.0;0.0;0.0;0.0;0.0;15500.0
2025-06;15500.0;0.0;0.0;0.0;0.0;15500.0
2025-07;15500.0;0.0;0.0;0.0;0.0;15500.0
2025-08;15500.0;0.0;0.0;0.0;0.0;15500.0
2025-09;15500.0;0.0;0.0;0.0;0.0;15500.0
2025-10;15500.0;0.0;0.0;0.0;0.0;15500.0
2025-11;15500.0;0.0;0.0;0.0;0.0;15500.0
2025-12;15500.0;0.0;0.0;0.0;0.0;15500.0
2026-01;15500.0;0.0;0.0;0.0;0.0;15500.0
2026-02;15500.0;0.0;0.0;0.0;0.0;15500.0
2026-03;15500.0;0.0;0.0;0.0;0.0;15500.0
2026-04;15500.0;0.0;0.0;0.0;0.0;15500.0
2026-05;15500.0;0.0;0.0;0.0;0.0;15500.0
2026-06;15500.0;0.0;0.0;0.0;0.0;15500.0
2026-07;15500.0;0.0;0.0;0.0;0.0;15500.0
2026-08;15500.0;0.0;0.0;0.0;0.0;15500.0
2026-09;15500.0;10500.0;0.0;0.0;0.0;26000.0
2026-10;15500.0;10500.0;0.0;0.0;0.0;26000.0
2026-11;15500.0;10500.0;0.0;0.0;0.0;26000.0
2026-12;15500.0;10500.0;0.0;0.0;0.0;26000.0
2027-01;15500.0;10500.0;0.0;0.0;0.0;26000.0
2027-02;15500.0;10500.0;0.0;0.0;0.0;26000.0
2027-03;15500.0;10500.0;0.0;0.0;0.0;26000.0
2027-04;15500.0;10500.0;0.0;0.0;0.0;26000.0
2027-05;15500.0;10500.0;0.0;0.0;0.0;26000.0
2027-06;15500.0;10500.0;0.0;0.0;0.0;26000.0
2027-07;15500.0;10500.0;0.0;0.0;0.0;26000.0
2027-08;15500.0;10500.0;0.0;0.0;0.0;26000.0
2027-09;15500.0;10500.0;0.0;0.0;0.0;26000.0
2027-10;15500.0;10500.0;0.0;0.0;0.0;26000.0
2027-11;15500.0;10500.0;0.0;0.0;0.0;26000.0
2027-12;15500.0;10500.0;0.0;0.0;0.0;26000.0
